Campaign Name,Recipient Email,Department,Send Time,Delivery Status,Bounced,Unique Opens,Unique Clicks,First Open,Unsubscribed
cyber-aware-2026q1,cara.ahmed@example.com,Manufacturing,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,xenia.rossi@example.com,Marketing,12/01/2026 08:30,Delivered,No,1,1,12/01/2026 12:32,No
cyber-aware-2026q1,ben.zhang@example.com,Operations,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,yusuf.hansen@example.com,HR,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,grace.jensen@example.com,Finance,12/01/2026 08:30,Delivered,No,1,1,13/01/2026 04:33,No
cyber-aware-2026q1,wei.yilmaz@example.com,Operations,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,ben.zhang2@example.com,Manufacturing,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,hiro.patel@example.com,HR,12/01/2026 08:30,Delivered,No,1,0,12/01/2026 13:27,No
cyber-aware-2026q1,farid.fischer@example.com,Marketing,12/01/2026 08:30,Delivered,No,1,0,12/01/2026 10:03,No
cyber-aware-2026q1,wei.rossi@example.com,Manufacturing,12/01/2026 08:30,Delivered,No,5,0,14/01/2026 13:08,No
cyber-aware-2026q1,quinn.okafor@example.com,HR,12/01/2026 08:30,Delivered,No,3,0,12/01/2026 09:32,No
cyber-aware-2026q1,viktor.patel@example.com,Finance,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,elena.tanaka@example.com,Operations,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,ines.lopez@example.com,Technology,12/01/2026 08:30,Delivered,No,1,0,13/01/2026 05:06,No
cyber-aware-2026q1,ben.jensen@example.com,Finance,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,maya.hansen@example.com,Technology,12/01/2026 08:30,Delivered,No,5,0,12/01/2026 09:58,No
cyber-aware-2026q1,quinn.muller@example.com,Manufacturing,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,grace.lopez@example.com,Marketing,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,kira.ueda@example.com,Finance,12/01/2026 08:30,Delivered,No,2,0,12/01/2026 10:28,No
cyber-aware-2026q1,elena.iyer@example.com,Technology,12/01/2026 08:30,Delivered,No,0,0,,No
cyber-aware-2026q1,yusuf.kowalski@example.com,Operations,12/01/2026 08:30,Delivered,No,0,0,,No
